lm,item,hypothesis_id,hypothesis_instance,adaptation_dative,best_lr,best_val_performance,best_epoch,initial_delta,initial_do_pref,initial_do_mean,initial_pp_mean,final_delta,final_do_pref,final_do_mean,final_pp_mean,best_delta,best_do_pref,best_do_mean,best_pp_mean
raw,22,5,2,do,0.1,3.1537418142954508,22,-0.45947442395346505,0.1357142857142857,-7.506433926309858,-7.046959502356393,-1.443346985408238,0.12857142857142856,-9.990845056261335,-8.547498070853097,-0.7731851073673793,0.045714285714285714,-5.034366895130702,-4.261181787763323
raw,23,5,3,do,0.05,0.5517997392018641,42,-0.4599913229261126,0.1357142857142857,-7.503227121489388,-7.043235798563276,-1.0378296763556345,0.06571428571428571,-8.295835680280414,-7.258006003924779,-0.7920701956748962,0.12285714285714286,-7.735411558151245,-6.943341362476349
raw,23,5,3,pp,0.1,2.319447286923727,37,-0.45981851100921634,0.1357142857142857,-7.506804827962603,-7.046986316953387,-1.4622950744628906,0.10285714285714286,-7.259481464113508,-5.7971863896506175,-1.1497886695180621,0.11285714285714285,-6.99217615536281,-5.842387485844748
raw,24,5,4,do,0.1,2.061683184305826,45,-0.46031358718872073,0.1357142857142857,-7.510409220967974,-7.050095633779253,0.027445362295423235,0.5242857142857142,-11.912186526230403,-11.939631888525827,-0.1279698668207441,0.4685714285714286,-11.768902657713209,-11.640932790892466
raw,24,5,4,pp,0.1,1.2516094430287676,27,-0.45963430064065114,0.13428571428571429,-7.5072259453364785,-7.047591644695827,-0.960158462865012,0.18428571428571427,-7.321394978591374,-6.361236515726362,-0.9942749639919826,0.07,-6.198172615596226,-5.203897651604244
raw,25,5,5,pp,0.1,2.828109652201335,19,-0.4588757140295846,0.1357142857142857,-7.507048328263419,-7.048172614233835,-1.2068146395683288,0.03571428571428571,-7.484208909784044,-6.277394270215716,-1.0345509481430053,0.03142857142857143,-6.0897974804469515,-5.055246532303946
raw,25,5,5,do,0.1,0.8075579913457238,7,-0.4588380527496338,0.13714285714285715,-7.504923665182931,-7.046085612433298,1.7420677157810756,0.9514285714285714,-8.404938665798733,-10.147006381579807,-0.3195823437826974,0.2542857142857143,-5.279062066418784,-4.959479722636087
raw,26,6,1,do,0.1,2.7388471889495856,35,-0.45810252121516637,0.1357142857142857,-7.504995618547712,-7.046893097332545,-0.15532051392963955,0.3557142857142857,-7.967820551395416,-7.812500037465777,-0.2430885066304888,0.32285714285714284,-6.168244512762342,-5.925156006131854
raw,26,6,1,pp,0.1,3.5535367933909106,32,-0.46050806386130194,0.1357142857142857,-7.507359760829381,-7.046851696968079,-0.9562333791596549,0.06571428571428571,-6.538848729133606,-5.582615349973951,-0.9244400800977435,0.10571428571428572,-6.050482765606471,-5.126042685508728
raw,27,6,2,pp,0.1,2.4879997126261397,70,-0.4592826121194022,0.1357142857142857,-7.504675308636257,-7.0453926965168545,-1.130420675618308,0.022857142857142857,-6.327309646265848,-5.19688897064754,-1.130420675618308,0.022857142857142857,-6.327309646265848,-5.19688897064754
raw,27,6,2,do,0.1,2.171576369603475,17,-0.4585950034005301,0.13428571428571429,-7.50613574709211,-7.047540743691581,-0.5666123018945967,0.1657142857142857,-7.411798171656472,-6.845185869761876,-0.29994400535311017,0.2542857142857143,-5.143763796942575,-4.843819791589464
